parent_id,parent_name,length_meters,dip_degrees_min,dip_degrees_max,dip_degrees_mean,upper_depth_km_min,upper_depth_km_max,upper_depth_km_mean,lower_depth_km_min,lower_depth_km_max,lower_depth_km_mean
73,East Huasna,74135.765,90.0,90.0,90.0,0.0,0.0,0.0,15.0,15.0,15.0
74,Eaton Roughs,98226.238,90.0,90.0,90.0,0.0,0.0,0.0,15.0,15.0,15.0
75,Elmore Ranch,29032.15,90.0,90.0,90.0,0.0,0.0,0.0,11.4,11.4,11.4
76,Elysian Park (lower),41417.655,22.0,22.0,22.0,10.0,10.0,10.0,14.7,14.7,14.7
77,Elysian Park (upper),20098.976,50.0,50.0,50.0,3.0,3.0,3.0,15.0,15.0,15.0
78,Emerson - Copper Mountain,72427.036,90.0,90.0,90.0,0.0,0.0,0.0,14.1,14.1,14.1
79,Eureka Peak,18943.071,90.0,90.0,90.0,0.0,0.0,0.0,15.0,15.0,15.0
80,Fickle Hill [1],32233.686,35.0,35.0,35.0,0.0,0.0,0.0,13.0,13.0,13.0
81,Fish Slough,29678.286,60.0,60.0,60.0,0.0,0.0,0.0,16.0,16.0,16.0
82,Fitzhugh Creek,46022.062,50.0,50.0,50.0,0.0,0.0,0.0,8.5,8.5,8.5
83,Fontana (seismicity),23904.81,80.0,80.0,80.0,0.0,0.0,0.0,16.3,16.3,16.3
84,Franklin,38143.827,90.0,90.0,90.0,0.0,0.0,0.0,13.2,13.2,13.2
85,Garberville - Briceland,60187.206,90.0,90.0,90.0,0.0,0.0,0.0,24.8,24.8,24.8
86,Garlic Springs,13652.058,90.0,90.0,90.0,0.0,0.0,0.0,12.7,12.7,12.7
87,Gillem - Big Crack,35751.365,60.0,60.0,60.0,0.0,0.0,0.0,9.7,9.7,9.7
88,Goldstone Lake,34802.876,90.0,90.0,90.0,0.0,0.0,0.0,12.4,12.4,12.4
89,Gravel Hills - Harper Lake,65081.194,90.0,90.0,90.0,0.0,0.0,0.0,11.4,11.4,11.4
90,Great Valley 1,44054.695,15.0,15.0,15.0,7.0,7.0,7.0,9.6,9.6,9.6
91,Great Valley 10 (Panoche),21672.134,15.0,15.0,15.0,7.0,7.0,7.0,9.6,9.6,9.6
92,Great Valley 11,24467.443,15.0,15.0,15.0,7.0,7.0,7.0,9.6,9.6,9.6
93,Great Valley 12,17530.141,15.0,15.0,15.0,7.0,7.0,7.0,9.6,9.6,9.6
94,Great Valley 13 (Coalinga),31594.173,15.0,15.0,15.0,9.1,9.1,9.1,15.2,15.2,15.2
95,Great Valley 14 (Kettleman Hills),23957.349,22.0,22.0,22.0,8.1,8.1,8.1,22.5,22.5,22.5
96,Great Valley 2,22071.667,15.0,15.0,15.0,7.0,7.0,7.0,9.6,9.6,9.6
97,Great Valley 3 (Mysterious Ridge),51738.701,20.0,20.0,20.0,9.0,9.0,9.0,14.0,14.0,14.0
98,Great Valley 3a (Dunnigan Hills),27469.56,20.0,20.0,20.0,3.0,3.0,3.0,6.0,6.0,6.0
99,Great Valley 4a (Trout Creek),19288.533,20.0,20.0,20.0,9.0,9.0,9.0,14.0,14.0,14.0
100,Great Valley 4b (Gordon Valley),28665.598,20.0,20.0,20.0,9.0,9.0,9.0,14.0,14.0,14.0
101,Great Valley 5 (Pittsburg - Kirby Hills) [1],21192.246,55.0,55.0,55.0,0.0,0.0,0.0,10.8,10.8,10.8
103,Great Valley 6 (Midland) [1],69150.546,47.0,47.0,47.0,1.0,1.0,1.0,15.0,15.0,15.0
105,Great Valley 7 (Orestimba),65997.043,20.0,20.0,20.0,7.0,7.0,7.0,9.6,9.6,9.6
106,Great Valley 8 (Quinto),19468.187,25.0,25.0,25.0,0.0,0.0,0.0,6.0,6.0,6.0
107,Great Valley 9 (Laguna Seca),39134.511,25.0,25.0,25.0,7.0,7.0,7.0,9.6,9.6,9.6
108,Green Valley,43289.712,84.0,84.0,84.0,0.0,0.0,0.0,14.0,14.0,14.0
109,Greenville (north),50659.261,84.0,84.0,84.0,0.0,0.0,0.0,14.9,14.9,14.9
110,Greenville (south),29180.677,87.0,87.0,87.0,0.0,0.0,0.0,10.6,10.6,10.6
111,Hartley Springs,22535.704,50.0,50.0,50.0,0.0,0.0,0.0,14.0,14.0,14.0
112,Hat Creek - McArthur - Mayfield,106485.89,60.0,60.0,60.0,0.0,0.0,0.0,9.6,9.6,9.6
113,Hector Mine,27993.226,90.0,90.0,90.0,0.0,0.0,0.0,14.6,14.6,14.6
114,Helendale - Lockhart (south),114210.414,90.0,90.0,90.0,0.0,0.0,0.0,12.8,12.8,12.8
115,Hilton Creek,30617.211,50.0,50.0,50.0,0.0,0.0,0.0,14.8,14.8,14.8
116,Hollywood,18906.136,70.0,70.0,70.0,0.0,0.0,0.0,17.3,17.3,17.3
117,Holser [1],22991.895,58.0,58.0,58.0,0.0,0.0,0.0,18.6,18.6,18.6
119,Homestead Valley,45848.734,90.0,90.0,90.0,0.0,0.0,0.0,15.9,15.9,15.9
120,Honey Lake,69545.368,90.0,90.0,90.0,0.0,0.0,0.0,9.7,9.7,9.7
121,Hosgri,171833.078,80.0,80.0,80.0,0.0,0.0,0.0,12.2,12.2,12.2
122,Hosgri (extension),28803.72,80.0,80.0,80.0,0.0,0.0,0.0,7.5,7.5,7.5
123,Hunter Mountain - Saline Valley,77040.638,90.0,90.0,90.0,0.0,0.0,0.0,12.4,12.4,12.4
124,Hunting Creek - Bartlett Springs (connector),38233.556,90.0,90.0,90.0,0.0,0.0,0.0,12.0,12.0,12.0
125,Hunting Creek - Berryessa,44607.586,90.0,90.0,90.0,0.0,0.0,0.0,10.6,10.6,10.6
126,Imperial,62423.302,82.0,82.0,82.0,0.0,0.0,0.0,11.0,11.0,11.0
127,Independence,75401.323,50.0,50.0,50.0,0.0,0.0,0.0,14.6,14.6,14.6
128,Jess Valley,37475.383,50.0,50.0,50.0,0.0,0.0,0.0,12.0,12.0,12.0
129,Johnson Valley (north),52105.921,90.0,90.0,90.0,0.0,0.0,0.0,15.9,15.9,15.9
130,Joshua Tree (seismicity),17546.357,90.0,90.0,90.0,0.0,0.0,0.0,13.3,13.3,13.3
131,Keddie Ridge,30509.199,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
132,Kern Canyon (Lake Isabella),35597.38,60.0,60.0,60.0,0.0,0.0,0.0,14.6,14.6,14.6
133,Kern Canyon (north),52449.697,60.0,60.0,60.0,0.0,0.0,0.0,14.6,14.6,14.6
134,Kern Canyon (south),48478.297,60.0,60.0,60.0,0.0,0.0,0.0,14.6,14.6,14.6
135,Kickapoo,6261.849,90.0,90.0,90.0,0.0,0.0,0.0,15.1,15.1,15.1
136,King Range,42075.986,29.0,29.0,29.0,0.0,0.0,0.0,6.5,6.5,6.5
137,La Panza,71939.216,51.0,51.0,51.0,0.0,0.0,0.0,13.9,13.9,13.9
138,Laguna Salada,99475.298,90.0,90.0,90.0,0.0,0.0,0.0,13.3,13.3,13.3
139,Lake Isabella (seismicity),60749.653,90.0,90.0,90.0,0.0,0.0,0.0,15.2,15.2,15.2
140,Las Positas,14642.09,90.0,90.0,90.0,0.0,0.0,0.0,15.0,15.0,15.0
141,Last Chance,39084.167,50.0,50.0,50.0,0.0,0.0,0.0,15.0,15.0,15.0
142,Lenwood - Lockhart - Old Woman Springs,145170.939,90.0,90.0,90.0,0.0,0.0,0.0,13.2,13.2,13.2
143,Likely,91226.872,90.0,90.0,90.0,0.0,0.0,0.0,9.4,9.4,9.4
144,Lions Head,64996.528,75.0,75.0,75.0,0.0,0.0,0.0,12.0,12.0,12.0
145,Little Lake,43875.869,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
146,Little Salmon (offshore),45512.271,30.0,30.0,30.0,0.0,0.0,0.0,13.0,13.0,13.0
147,Little Salmon (onshore),34346.856,30.0,30.0,30.0,0.0,0.0,0.0,13.0,13.0,13.0
148,Los Alamos,26788.506,30.0,30.0,30.0,0.0,0.0,0.0,12.0,12.0,12.0
149,Los Alamos (extension),22187.875,30.0,30.0,30.0,0.0,0.0,0.0,12.0,12.0,12.0
150,Los Medanos - Roe Island,20917.987,39.0,39.0,39.0,0.0,0.0,0.0,14.0,14.0,14.0
151,Los Osos,57695.418,45.0,45.0,45.0,0.0,0.0,0.0,12.0,12.0,12.0
152,Lost Hills,32662.068,29.0,29.0,29.0,4.2,4.2,4.2,12.0,12.0,12.0
153,Ludlow,71627.381,90.0,90.0,90.0,0.0,0.0,0.0,11.1,11.1,11.1
154,"Lytle Creek (San Jacinto, connector)",23058.843,90.0,90.0,90.0,0.0,0.0,0.0,16.1,16.1,16.1
155,Maacama,175363.18,63.0,63.0,63.0,0.0,0.0,0.0,10.9,10.9,10.9
157,Mad River [1],41723.077,35.0,35.0,35.0,0.0,0.0,0.0,13.0,13.0,13.0
158,Malibu Coast (extension) [1],34442.233,74.0,74.0,74.0,0.0,0.0,0.0,7.8,7.8,7.8
160,Malibu Coast [1],37610.759,75.0,75.0,75.0,0.0,0.0,0.0,7.8,7.8,7.8
162,Manix - Afton Hills,58610.584,90.0,90.0,90.0,0.0,0.0,0.0,13.2,13.2,13.2
163,McKinleyville [1],47446.012,35.0,35.0,35.0,0.0,0.0,0.0,13.0,13.0,13.0
164,McLean Lake,53043.556,90.0,90.0,90.0,0.0,0.0,0.0,11.1,11.1,11.1
165,Mendocino,177322.031,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
166,"Mill Creek (San Andreas, north branch)",105661.847,76.0,76.0,76.0,0.0,0.0,0.0,18.2,18.2,18.2
167,Mission (connected),28066.769,90.0,90.0,90.0,0.0,0.0,0.0,5.1,5.1,5.1
168,Mission Creek,31242.676,65.0,65.0,65.0,0.0,0.0,0.0,17.7,17.7,17.7
169,Mission Hills,13039.227,55.0,55.0,55.0,0.0,0.0,0.0,14.5,14.5,14.5
170,Mission Ridge - Arroyo Parida - Santa Ana,68531.31,70.0,70.0,70.0,0.0,0.0,0.0,7.6,7.6,7.6
171,Mohawk Valley,64767.726,90.0,90.0,90.0,0.0,0.0,0.0,14.7,14.7,14.7
172,Mono Lake,19570.288,50.0,50.0,50.0,0.0,0.0,0.0,13.8,13.8,13.8
173,Monte Vista - Shannon,59869.956,61.0,61.0,61.0,0.0,0.0,0.0,14.2,14.2,14.2
174,Monterey Bay - Tularcitos,85912.69,90.0,90.0,90.0,0.0,0.0,0.0,14.0,14.0,14.0
175,Morales (east),17702.258,32.0,32.0,32.0,0.0,0.0,0.0,8.6,8.6,8.6
176,Morales (west),28252.211,32.0,32.0,32.0,0.0,0.0,0.0,8.6,8.6,8.6
177,Mount Diablo (north) [1],18832.214,40.0,40.0,40.0,1.0,1.0,1.0,13.5,13.5,13.5
178,Mount Diablo (south) [1],11287.839,40.0,40.0,40.0,1.0,1.0,1.0,13.5,13.5,13.5
180,Nelson Lake,50954.753,90.0,90.0,90.0,0.0,0.0,0.0,11.7,11.7,11.7
181,Newport - Inglewood (offshore),66481.732,90.0,90.0,90.0,0.0,0.0,0.0,10.2,10.2,10.2
182,Newport - Inglewood [1],65409.784,88.0,88.0,88.0,0.0,0.0,0.0,15.0,15.0,15.0
185,North Frontal (east),28199.126,41.0,41.0,41.0,0.0,0.0,0.0,16.6,16.6,16.6
186,North Frontal (west),48690.679,49.0,49.0,49.0,0.0,0.0,0.0,15.7,15.7,15.7
187,North Salt Lake,3303.69,54.0,54.0,54.0,0.5,0.5,0.5,16.7,16.7,16.7
188,North Tahoe,25722.156,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
189,Northridge,33233.673,35.0,35.0,35.0,7.4,7.4,7.4,16.8,16.8,16.8
190,Northridge Hills,24842.838,31.0,31.0,31.0,0.0,0.0,0.0,14.9,14.9,14.9
193,Oak Ridge (onshore),49599.57,65.0,65.0,65.0,1.0,1.0,1.0,19.4,19.4,19.4
194,Oceanic - West Huasna,121888.469,58.0,58.0,58.0,0.0,0.0,0.0,7.0,7.0,7.0
195,Oceanside [1],65268.378,23.0,23.0,23.0,1.0,1.0,1.0,8.3,8.3,8.3
197,Ortigalita (north),39994.485,90.0,90.0,90.0,0.0,0.0,0.0,11.0,11.0,11.0
198,Ortigalita (south),62457.365,90.0,90.0,90.0,0.0,0.0,0.0,11.0,11.0,11.0
199,Owens Valley,108878.115,90.0,90.0,90.0,0.0,0.0,0.0,13.5,13.5,13.5
200,Owens Valley (Keough Hot Springs),17301.077,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
201,Owl Lake,25145.511,90.0,90.0,90.0,0.0,0.0,0.0,12.0,12.0,12.0
202,Ozena,41413.873,33.0,33.0,33.0,0.0,0.0,0.0,13.9,13.9,13.9
203,Palos Verdes,107242.38,90.0,90.0,90.0,0.0,0.0,0.0,13.6,13.6,13.6
204,Panamint Valley,110032.551,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
205,Paradise,55208.425,90.0,90.0,90.0,0.0,0.0,0.0,13.4,13.4,13.4
206,Peralta Hills,13810.728,50.0,50.0,50.0,0.3,0.3,0.3,14.0,14.0,14.0
207,Pilarcitos,50941.904,81.0,81.0,81.0,0.0,0.0,0.0,9.5,9.5,9.5
208,Pine Mountain,61343.161,45.0,45.0,45.0,0.0,0.0,0.0,16.3,16.3,16.3
209,Pinto Mountain,82843.773,90.0,90.0,90.0,0.0,0.0,0.0,15.5,15.5,15.5
210,Pisgah - Bullion Mountain - Mesquite Lake,90967.219,90.0,90.0,90.0,0.0,0.0,0.0,13.1,13.1,13.1
211,"Pitas Point (lower, Montalvo) [1]",30097.555,16.0,16.0,16.0,0.4,0.4,0.4,12.7,12.7,12.7
212,"Pitas Point (lower, west) [1]",34632.146,13.0,13.0,13.0,1.5,1.5,1.5,8.8,8.8,8.8
214,Pittville,37377.097,60.0,60.0,60.0,0.0,0.0,0.0,8.9,8.9,8.9
215,Pleito,43454.008,46.0,46.0,46.0,0.0,0.0,0.0,13.6,13.6,13.6
216,Point Reyes,62616.859,53.0,53.0,53.0,0.0,0.0,0.0,9.0,9.0,9.0
217,Point Reyes (connector),34259.789,53.0,53.0,53.0,0.0,0.0,0.0,9.0,9.0,9.0
218,Polaris,28603.343,81.0,81.0,81.0,0.0,0.0,0.0,15.0,15.0,15.0
222,Puente Hills [1],44030.657,25.0,25.0,25.0,5.0,5.0,5.0,13.0,13.0,13.0
223,Quien Sabe,25314.325,85.0,85.0,85.0,0.0,0.0,0.0,10.1,10.1,10.1
224,Raymond,22394.774,79.0,79.0,79.0,0.0,0.0,0.0,15.6,15.6,15.6
225,Red Mountain,100051.053,56.0,56.0,56.0,0.0,0.0,0.0,14.1,14.1,14.1
226,Red Pass,25563.629,90.0,90.0,90.0,0.0,0.0,0.0,11.7,11.7,11.7
227,Redondo Canyon [1],12617.388,90.0,90.0,90.0,0.0,0.0,0.0,13.3,13.3,13.3
229,Reliz,127403.277,58.0,58.0,58.0,0.0,0.0,0.0,10.9,10.9,10.9
230,Richfield,6209.986,28.0,28.0,28.0,2.5,2.5,2.5,12.9,12.9,12.9
231,Rinconada,123070.036,82.0,82.0,82.0,0.0,0.0,0.0,8.5,8.5,8.5
232,Robinson Creek,16756.245,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
233,Rocky Ledge,15790.971,60.0,60.0,60.0,0.0,0.0,0.0,9.0,9.0,9.0
234,Rose Canyon,75324.675,90.0,90.0,90.0,0.0,0.0,0.0,7.7,7.7,7.7
235,Round Valley,43475.066,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
236,Russ,85079.132,71.0,71.0,71.0,0.0,0.0,0.0,20.0,20.0,20.0
237,San Cayetano,41921.321,42.0,42.0,42.0,0.0,0.0,0.0,16.0,16.0,16.0
238,San Clemente,199051.45,88.0,88.0,88.0,0.0,0.0,0.0,9.0,9.0,9.0
239,San Diego Trough (north) [1],140685.868,90.0,90.0,90.0,0.0,0.0,0.0,8.3,8.3,8.3
241,San Diego Trough (south),156103.783,90.0,90.0,90.0,0.0,0.0,0.0,8.3,8.3,8.3
242,San Gabriel,71291.813,61.0,61.0,61.0,0.0,0.0,0.0,14.7,14.7,14.7
243,San Gabriel (extension),62219.402,61.0,61.0,61.0,0.0,0.0,0.0,14.7,14.7,14.7
244,San Gorgonio Pass,28713.436,60.0,60.0,60.0,0.0,0.0,0.0,18.5,18.5,18.5
245,San Gregorio (north),130017.589,90.0,90.0,90.0,0.0,0.0,0.0,11.6,11.6,11.6
246,San Gregorio (south),90302.698,75.0,75.0,75.0,0.0,0.0,0.0,11.6,11.6,11.6
247,San Joaquin Hills,27373.741,23.0,23.0,23.0,2.0,2.0,2.0,12.4,12.4,12.4
248,San Jose,19589.81,74.0,74.0,74.0,0.0,0.0,0.0,15.8,15.8,15.8
249,San Juan,82415.736,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
251,San Luis Range (Oceano) [1],21022.016,45.0,45.0,45.0,0.0,0.0,0.0,12.0,12.0,12.0
252,San Luis Range (Pecho),25582.913,90.0,90.0,90.0,0.0,0.0,0.0,12.0,12.0,12.0
254,San Luis Range [1],78807.686,52.0,52.0,52.0,0.0,0.0,0.0,12.0,12.0,12.0
255,San Pedro Basin,68643.046,88.0,88.0,88.0,0.8,0.8,0.8,12.3,12.3,12.3
256,San Pedro Escarpment,26509.166,17.0,17.0,17.0,1.0,1.0,1.0,16.0,16.0,16.0
257,San Vicente,8802.09,66.0,66.0,66.0,1.6,1.6,1.6,17.0,17.0,17.0
258,Santa Cruz - Catalina Ridge [1],113641.85,90.0,90.0,90.0,0.0,0.0,0.0,11.0,11.0,11.0
260,Santa Cruz Island,68815.739,90.0,90.0,90.0,0.0,0.0,0.0,13.3,13.3,13.3
261,Santa Monica Bay,16918.334,20.0,20.0,20.0,2.3,2.3,2.3,18.0,18.0,18.0
262,Santa Monica [1],14386.657,75.0,75.0,75.0,0.0,0.0,0.0,17.9,17.9,17.9
