parent_id,parent_name
249,San Juan
251,San Luis Range (Oceano) [1]
252,San Luis Range (Pecho)
254,San Luis Range [1]
255,San Pedro Basin
256,San Pedro Escarpment
257,San Vicente
258,Santa Cruz - Catalina Ridge [1]
260,Santa Cruz Island
261,Santa Monica Bay
262,Santa Monica [1]
264,Santa Rosa Island
265,"Santa Susana (east, connector)"
266,Santa Susana [1]
268,Santa Ynez (east)
269,Santa Ynez (west)
270,Santa Ynez River
271,Sargent
272,Scodie Lineament (seismicity)
273,Sheephole
274,Shoreline
275,Sierra Madre
276,Sierra Madre (San Fernando)
277,Sierra Nevada (north)
279,Silver Creek
280,Simi - Santa Rosa
281,Sisar
282,Skinner Flat
278,Sierra Nevada (south)
60,Cuyama (south)
2501,South Klamath Lake (east)
2502,South Klamath Lake (west)
283,Superstition Hills
284,Surprise Valley
285,Swain Ravine - Spenceville
286,Table Bluff
287,Tank Canyon
288,Thirty Mile Bank
289,Tin Mountain
290,Towne Pass
291,Trinidad [1]
292,Ventura - Pitas Point
293,Verdugo
294,Walker Spring
295,West Napa
296,West Tahoe
297,White Mountains
298,White Wolf
299,White Wolf (extension)
300,Whittier [1]
302,Wight Way
303,Yorba Linda
304,Zayante - Vergeles [1]
