name,parent_id,parent_name
Kern Canyon (south),134,Kern Canyon (south)
Kickapoo,135,Kickapoo
King Range,136,King Range
La Panza,137,La Panza
Laguna Salada,138,Laguna Salada
Lake Isabella (seismicity),139,Lake Isabella (seismicity)
Las Positas,140,Las Positas
Last Chance,141,Last Chance
Lenwood - Lockhart - Old Woman Springs,142,Lenwood - Lockhart - Old Woman Springs
Likely,143,Likely
Lions Head,144,Lions Head
Little Lake,145,Little Lake
Little Salmon (offshore),146,Little Salmon (offshore)
Little Salmon (onshore),147,Little Salmon (onshore)
Los Alamos,148,Los Alamos
Los Alamos (extension),149,Los Alamos (extension)
Los Medanos - Roe Island,150,Los Medanos - Roe Island
Los Osos,151,Los Osos
Lost Hills,152,Lost Hills
Ludlow,153,Ludlow
Maacama,155,Maacama
Mad River - Trinidad [2],156,Mad River - Trinidad [2]
Malibu Coast (extension) [2],159,Malibu Coast (extension) [2]
Malibu Coast [2],161,Malibu Coast [2]
Manix - Afton Hills,162,Manix - Afton Hills
McLean Lake,164,McLean Lake
Mendocino,165,Mendocino
Mission (connected),167,Mission (connected)
Mission Creek,168,Mission Creek
Mission Hills,169,Mission Hills
Mission Ridge - Arroyo Parida - Santa Ana,170,Mission Ridge - Arroyo Parida - Santa Ana
Mohawk Valley,171,Mohawk Valley
Mono Lake,172,Mono Lake
Monte Vista - Shannon,173,Monte Vista - Shannon
Monterey Bay - Tularcitos,174,Monterey Bay - Tularcitos
Morales (east),175,Morales (east)
Morales (west),176,Morales (west)
Mount Diablo [2],179,Mount Diablo [2]
Nelson Lake,180,Nelson Lake
Newport - Inglewood (offshore),181,Newport - Inglewood (offshore)
Newport - Inglewood [2],183,Newport - Inglewood [2]
North Channel [2],184,North Channel [2]
North Frontal (east),185,North Frontal (east)
North Frontal (west),186,North Frontal (west)
North Salt Lake,187,North Salt Lake
North Tahoe,188,North Tahoe
Northridge,189,Northridge
Northridge Hills,190,Northridge Hills
Oak Ridge (offshore) [2],191,Oak Ridge (offshore) [2]
"Oak Ridge (offshore, extension) [2]",192,"Oak Ridge (offshore, extension) [2]"
Oak Ridge (onshore),193,Oak Ridge (onshore)
Oceanic - West Huasna,194,Oceanic - West Huasna
Oceanside [2],196,Oceanside [2]
Ortigalita (north),197,Ortigalita (north)
Ortigalita (south),198,Ortigalita (south)
Owens Valley,199,Owens Valley
Owens Valley (Keough Hot Springs),200,Owens Valley (Keough Hot Springs)
Owl Lake,201,Owl Lake
Ozena,202,Ozena
Palos Verdes,203,Palos Verdes
Panamint Valley,204,Panamint Valley
Paradise,205,Paradise
Peralta Hills,206,Peralta Hills
Pilarcitos,207,Pilarcitos
Pine Mountain,208,Pine Mountain
Pinto Mountain,209,Pinto Mountain
Pisgah - Bullion Mountain - Mesquite Lake,210,Pisgah - Bullion Mountain - Mesquite Lake
Pitas Point (upper) [2],213,Pitas Point (upper) [2]
Pittville,214,Pittville
Pleito,215,Pleito
Point Reyes,216,Point Reyes
Point Reyes (connector),217,Point Reyes (connector)
Polaris,218,Polaris
Puente Hills (Coyote Hills) [2],219,Puente Hills (Coyote Hills) [2]
Puente Hills (Los Angeles) [2],220,Puente Hills (Los Angeles) [2]
Puente Hills (Santa Fe Springs) [2],221,Puente Hills (Santa Fe Springs) [2]
Quien Sabe,223,Quien Sabe
Raymond,224,Raymond
Red Mountain,225,Red Mountain
Red Pass,226,Red Pass
Redondo Canyon [2],228,Redondo Canyon [2]
Reliz,229,Reliz
Richfield,230,Richfield
Rinconada,231,Rinconada
Robinson Creek,232,Robinson Creek
Rocky Ledge,233,Rocky Ledge
Rodgers Creek - Healdsburg,903,Rodgers Creek - Healdsburg
Rose Canyon,234,Rose Canyon
Round Valley,235,Round Valley
Russ,236,Russ
San Andreas (Big Bend),706,San Andreas (Big Bend)
San Andreas (Carrizo),707,San Andreas (Carrizo)
San Andreas (Cholame),708,San Andreas (Cholame)
San Andreas (Coachella),700,San Andreas (Coachella)
San Andreas (Creeping),710,San Andreas (Creeping)
"San Andreas (Mojave, north)",705,"San Andreas (Mojave, north)"
"San Andreas (Mojave, south)",704,"San Andreas (Mojave, south)"
"Mill Creek (San Andreas, north branch)",166,"Mill Creek (San Andreas, north branch)"
San Andreas (North Coast),713,San Andreas (North Coast)
San Andreas (Offshore),714,San Andreas (Offshore)
San Andreas (Parkfield),709,San Andreas (Parkfield)
San Andreas (Peninsula),712,San Andreas (Peninsula)
"San Andreas (San Bernardino, north)",703,"San Andreas (San Bernardino, north)"
"San Andreas (San Bernardino, south)",702,"San Andreas (San Bernardino, south)"
San Andreas (San Gorgonio Pass - Garnet Hill),701,San Andreas (San Gorgonio Pass - Garnet Hill)
San Andreas (Santa Cruz Mountains),711,San Andreas (Santa Cruz Mountains)
San Cayetano,237,San Cayetano
San Clemente,238,San Clemente
San Diego Trough (north) [2],240,San Diego Trough (north) [2]
San Diego Trough (south),241,San Diego Trough (south)
San Gabriel,242,San Gabriel
San Gabriel (extension),243,San Gabriel (extension)
San Gorgonio Pass,244,San Gorgonio Pass
San Gregorio (north),245,San Gregorio (north)
San Gregorio (south),246,San Gregorio (south)
San Jacinto (Anza),804,San Jacinto (Anza)
San Jacinto (Borrego),801,San Jacinto (Borrego)
San Jacinto (Clark),803,San Jacinto (Clark)
San Jacinto (Coyote Creek),802,San Jacinto (Coyote Creek)
"Lytle Creek (San Jacinto, connector)",154,"Lytle Creek (San Jacinto, connector)"
San Jacinto (San Bernardino),807,San Jacinto (San Bernardino)
San Jacinto (San Jacinto Valley),806,San Jacinto (San Jacinto Valley)
San Jacinto (stepover),805,San Jacinto (stepover)
San Jacinto (Superstition Mountain),800,San Jacinto (Superstition Mountain)
San Joaquin Hills,247,San Joaquin Hills
San Jose,248,San Jose
San Juan,249,San Juan
San Luis Bay [2],250,San Luis Bay [2]
San Luis Range (extended) [2],253,San Luis Range (extended) [2]
San Luis Range (Pecho),252,San Luis Range (Pecho)
San Pedro Basin,255,San Pedro Basin
San Pedro Escarpment,256,San Pedro Escarpment
San Vicente,257,San Vicente
Santa Cruz - Catalina Ridge [2],259,Santa Cruz - Catalina Ridge [2]
Santa Cruz Island,260,Santa Cruz Island
Santa Monica Bay,261,Santa Monica Bay
Santa Monica [2],263,Santa Monica [2]
Santa Rosa Island,264,Santa Rosa Island
"Santa Susana (east, connector)",265,"Santa Susana (east, connector)"
Santa Susana [2],267,Santa Susana [2]
Santa Ynez (east),268,Santa Ynez (east)
Santa Ynez (west),269,Santa Ynez (west)
Santa Ynez River,270,Santa Ynez River
Sargent,271,Sargent
Scodie Lineament (seismicity),272,Scodie Lineament (seismicity)
Sheephole,273,Sheephole
Shoreline,274,Shoreline
Sierra Madre,275,Sierra Madre
Sierra Madre (San Fernando),276,Sierra Madre (San Fernando)
Sierra Nevada (north),277,Sierra Nevada (north)
Silver Creek,279,Silver Creek
Simi - Santa Rosa,280,Simi - Santa Rosa
Sisar,281,Sisar
Skinner Flat,282,Skinner Flat
Sierra Nevada (south),278,Sierra Nevada (south)
Cuyama (south),60,Cuyama (south)
South Klamath Lake (east),2501,South Klamath Lake (east)
South Klamath Lake (west),2502,South Klamath Lake (west)
Superstition Hills,283,Superstition Hills
Surprise Valley,284,Surprise Valley
Swain Ravine - Spenceville,285,Swain Ravine - Spenceville
Table Bluff,286,Table Bluff
Tank Canyon,287,Tank Canyon
Thirty Mile Bank,288,Thirty Mile Bank
Tin Mountain,289,Tin Mountain
Towne Pass,290,Towne Pass
Ventura - Pitas Point,292,Ventura - Pitas Point
Verdugo,293,Verdugo
Walker Spring,294,Walker Spring
West Napa,295,West Napa
West Tahoe,296,West Tahoe
White Mountains,297,White Mountains
White Wolf,298,White Wolf
White Wolf (extension),299,White Wolf (extension)
Whittier [2],301,Whittier [2]
Wight Way,302,Wight Way
Yorba Linda,303,Yorba Linda
Zayante - Vergeles [2],305,Zayante - Vergeles [2]
