parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
113,Hector Mine,-180,179,strike-slip,strike-slip,strike-slip
114,Helendale - Lockhart (south),-180,180,strike-slip,strike-slip,normal oblique
115,Hilton Creek,-148,-92,normal oblique,normal,normal
116,Hollywood,-178,178,strike-slip,strike-slip,reverse oblique
117,Holser,60,171,reverse oblique,strike-slip,reverse
118,Holser - San Gabriel (connector),54,171,reverse oblique,strike-slip,reverse oblique
119,Homestead Valley,-180,180,strike-slip,strike-slip,strike-slip
120,Honey Lake,-171,180,strike-slip,strike-slip,normal oblique
121,Hosgri,-180,180,strike-slip,strike-slip,strike-slip
122,Hosgri (extension),-180,180,strike-slip,strike-slip,strike-slip
123,Hunter Mountain - Saline Valley,-169,-15,strike-slip,strike-slip,normal oblique
124,Hunting Creek - Bartlett Springs (connector),-180,180,strike-slip,strike-slip,strike-slip
125,Hunting Creek - Berryessa,-180,180,strike-slip,strike-slip,strike-slip
126,Imperial,-180,180,strike-slip,strike-slip,strike-slip
127,Independence,-159,-22,normal oblique,normal oblique,normal
128,Jess Valley,-165,-88,strike-slip,normal,normal
129,Johnson Valley (north),-180,180,strike-slip,strike-slip,strike-slip
130,Joshua Tree (seismicity),-180,180,strike-slip,strike-slip,strike-slip
131,Keddie Ridge,-143,-98,normal oblique,normal,normal oblique
132,Kern Canyon (Lake Isabella),-106,105,normal,reverse,normal
133,Kern Canyon (north),-123,105,normal oblique,reverse,normal
134,Kern Canyon (south),-117,105,normal oblique,reverse,normal
135,Kickapoo,-180,180,strike-slip,strike-slip,strike-slip
136,King Range,-180,180,strike-slip,strike-slip,reverse oblique
137,La Panza,-180,179,strike-slip,strike-slip,reverse oblique
138,Laguna Salada,-180,180,strike-slip,strike-slip,strike-slip
139,Lake Isabella (seismicity),-110,176,normal,strike-slip,normal
140,Las Positas,57,180,reverse oblique,strike-slip,strike-slip
141,Last Chance,-173,-60,strike-slip,normal oblique,normal oblique
142,Lenwood - Lockhart - Old Woman Springs,-180,180,strike-slip,strike-slip,strike-slip
143,Likely,-178,-93,strike-slip,normal,strike-slip
144,Lions Head,-180,180,strike-slip,strike-slip,reverse
145,Little Lake,-177,177,strike-slip,strike-slip,normal oblique
146,Little Salmon (offshore),98,125,reverse,reverse oblique,reverse oblique
147,Little Salmon (onshore),95,172,reverse,strike-slip,reverse
148,Los Alamos,12,179,strike-slip,strike-slip,reverse
149,Los Alamos (extension),17,178,strike-slip,strike-slip,reverse
150,Los Medanos - Roe Island,98,179,reverse,strike-slip,reverse oblique
151,Los Osos,-180,180,strike-slip,strike-slip,reverse oblique
152,Lost Hills,105,121,reverse,reverse oblique,reverse oblique
153,Ludlow,-180,180,strike-slip,strike-slip,strike-slip
154,"Lytle Creek (San Jacinto, connector)",-180,180,strike-slip,strike-slip,reverse oblique
155,Maacama,-180,180,strike-slip,strike-slip,strike-slip
157,Mad River,84,162,reverse,strike-slip,reverse
158,Malibu Coast (extension),28,162,reverse oblique,strike-slip,reverse oblique
160,Malibu Coast,29,169,reverse oblique,strike-slip,reverse oblique
162,Manix - Afton Hills,-180,179,strike-slip,strike-slip,strike-slip
163,McKinleyville,88,164,reverse,strike-slip,reverse
164,McLean Lake,-180,180,strike-slip,strike-slip,strike-slip
165,Mendocino,-180,180,strike-slip,strike-slip,strike-slip
166,"Mill Creek (San Andreas, north branch)",-180,180,strike-slip,strike-slip,strike-slip
167,Mission (connected),-180,180,strike-slip,strike-slip,strike-slip
168,Mission Creek,-180,180,strike-slip,strike-slip,reverse oblique
169,Mission Hills,60,172,reverse oblique,strike-slip,reverse
170,Mission Ridge - Arroyo Parida - Santa Ana,2,179,strike-slip,strike-slip,reverse
171,Mohawk Valley,-171,-171,strike-slip,strike-slip,strike-slip
172,Mono Lake,-109,-86,normal,normal,normal
173,Monte Vista - Shannon,-180,180,strike-slip,strike-slip,reverse oblique
174,Monterey Bay - Tularcitos,-180,180,strike-slip,strike-slip,strike-slip
175,Morales (east),-180,180,strike-slip,strike-slip,reverse oblique
176,Morales (west),-180,180,strike-slip,strike-slip,reverse oblique
177,Mount Diablo (north),-180,180,strike-slip,strike-slip,reverse oblique
178,Mount Diablo (south),-180,180,strike-slip,strike-slip,reverse oblique
180,Nelson Lake,-180,180,strike-slip,strike-slip,strike-slip
181,Newport - Inglewood (offshore),-180,180,strike-slip,strike-slip,strike-slip
183,Newport - Inglewood,-180,180,strike-slip,strike-slip,reverse oblique
184,North Channel,1,179,strike-slip,strike-slip,reverse oblique
185,North Frontal (east),-180,180,strike-slip,strike-slip,reverse oblique
186,North Frontal (west),-178,180,strike-slip,strike-slip,reverse oblique
187,North Salt Lake,34,178,reverse oblique,strike-slip,reverse oblique
188,North Tahoe,-141,-77,normal oblique,normal,normal
189,Northridge,52,171,reverse oblique,strike-slip,reverse
190,Northridge Hills,60,171,reverse oblique,strike-slip,reverse
191,Oak Ridge (offshore),24,113,reverse oblique,reverse oblique,reverse
192,"Oak Ridge (offshore, extension)",13,179,strike-slip,strike-slip,reverse oblique
193,Oak Ridge (onshore),33,158,reverse oblique,reverse oblique,reverse
194,Oceanic - West Huasna,-180,180,strike-slip,strike-slip,reverse oblique
195,Oceanside,79,171,reverse,strike-slip,reverse
197,Ortigalita (north),108,180,reverse,strike-slip,strike-slip
198,Ortigalita (south),105,180,reverse,strike-slip,strike-slip
199,Owens Valley,-173,21,strike-slip,reverse oblique,normal oblique
200,Owens Valley (Keough Hot Springs),-167,-63,strike-slip,normal oblique,normal
201,Owl Lake,-180,180,strike-slip,strike-slip,strike-slip
202,Ozena,-34,176,normal oblique,strike-slip,reverse oblique
203,Palos Verdes,-180,179,strike-slip,strike-slip,strike-slip
204,Panamint Valley,-180,180,strike-slip,strike-slip,normal oblique
205,Paradise,-180,180,strike-slip,strike-slip,strike-slip
206,Peralta Hills,-179,180,strike-slip,strike-slip,reverse oblique
207,Pilarcitos,-180,180,strike-slip,strike-slip,strike-slip
208,Pine Mountain,-54,179,normal oblique,strike-slip,reverse oblique
209,Pinto Mountain,-180,180,strike-slip,strike-slip,strike-slip
210,Pisgah - Bullion Mountain - Mesquite Lake,-180,180,strike-slip,strike-slip,strike-slip
211,"Pitas Point (lower, Montalvo)",26,175,reverse oblique,strike-slip,reverse oblique
212,"Pitas Point (lower, west)",20,179,reverse oblique,strike-slip,reverse oblique
213,Pitas Point (upper),6,179,strike-slip,strike-slip,reverse oblique
214,Pittville,-113,-73,normal oblique,normal,normal
215,Pleito,-180,180,strike-slip,strike-slip,reverse oblique
216,Point Reyes,-180,180,strike-slip,strike-slip,reverse oblique
217,Point Reyes (connector),-180,180,strike-slip,strike-slip,reverse oblique
218,Polaris (CA),-173,169,strike-slip,strike-slip,normal oblique
219,Puente Hills (Coyote Hills),-180,180,strike-slip,strike-slip,reverse oblique
220,Puente Hills (Los Angeles),41,177,reverse oblique,strike-slip,reverse oblique
221,Puente Hills (Santa Fe Springs),-180,179,strike-slip,strike-slip,reverse oblique
223,Quien Sabe,-180,180,strike-slip,strike-slip,strike-slip
224,Raymond,35,175,reverse oblique,strike-slip,reverse oblique
225,Red Mountain,8,179,strike-slip,strike-slip,reverse
226,Red Pass,-177,177,strike-slip,strike-slip,strike-slip
228,Redondo Canyon,-180,179,strike-slip,strike-slip,strike-slip
229,Reliz,-180,180,strike-slip,strike-slip,reverse oblique
230,Richfield,-177,180,strike-slip,strike-slip,reverse oblique
231,Rinconada,-180,180,strike-slip,strike-slip,strike-slip
232,Robinson Creek,-106,-69,normal,normal oblique,normal
233,Rocky Ledge,-114,-90,normal oblique,normal,normal
234,Rose Canyon,-180,180,strike-slip,strike-slip,strike-slip
235,Round Valley,-153,-72,normal oblique,normal,normal
236,Russ,101,166,reverse,strike-slip,reverse oblique
237,San Cayetano,14,177,strike-slip,strike-slip,reverse
238,San Clemente,58,171,reverse oblique,strike-slip,strike-slip
239,San Diego Trough (north),74,180,reverse,strike-slip,strike-slip
241,San Diego Trough (south),97,180,reverse,strike-slip,strike-slip
242,San Gabriel,-179,179,strike-slip,strike-slip,reverse oblique
243,San Gabriel (extension),-180,180,strike-slip,strike-slip,reverse oblique
244,San Gorgonio Pass,-180,179,strike-slip,strike-slip,reverse oblique
245,San Gregorio (north),-180,180,strike-slip,strike-slip,strike-slip
246,San Gregorio (south),-180,180,strike-slip,strike-slip,strike-slip
