parent_id,parent_name
1162,Eastern Humboldt Range
1040,Eastern Independence Valley
1163,Eastern Jackson Mountains
1164,Eastern Little Smoky Valley
1041,Eastern Monitor Range (north)
1165,Eastern Monitor Range (south)
1043,Eastern Osgood Mountains
1044,Eastern Pine Forest Range
1166,Eastern Reveille Range
1167,Eastgate
74,Eaton Roughs
1168,Echo Canyon
1047,Edna Mountain
1048,Eglington
75,Elmore Ranch
840,Elsinore (Coyote Mountains)
844,Elsinore (Glen Ivy)
841,Elsinore (Julian)
842,Elsinore (Temecula)
843,Elsinore (stepover)
76,Elysian Park (lower)
77,Elysian Park (upper)
2407,Embudo
78,Emerson - Copper Mountain
2303,Emigrant
1049,Emigrant Peak
2748,Enoch Graben
2832,Entiat
1050,Eugene Mountains
79,Eureka Peak
1052,Excelsior Mountains (unnamed)
317,Extra
1051,Fairview
2453,Faults north of Placitas
80,Fickle Hill
1169,Fish Creek Range
1170,Fish Lake Valley
81,Fish Slough
2749,Fish Springs
2454,Fitzgerald
82,Fitzhugh Creek
83,Fontana (seismicity)
1259,Fourmile Flat (unnamed)
1053,Fox Range
84,Franklin
1054,Freds Mountain
1055,Frenchman Mountain
2833,Frigid Creek
1171,Gabbs Valley
1260,Gabbs Valley (unnamed)
2563,Gales Creek (Chehalem Valley)
2514,Gales Creek (Parsons Creek)
2408,Gallina
85,Garberville - Briceland
1254,Garden Valley (unnamed)
86,Garlic Springs
881,Garlock (center)
882,Garlock (east)
880,Garlock (west)
1172,Genoa (north)
1001,Genoa (south)
2304,Georgia Gulch
87,Gillem - Big Crack
2455,Gillespie Mountain
2456,Gold Hill (north)
2457,Gold Hill (south)
1173,Gold King
88,Goldstone Lake
2500,Goose Lake
2751,Gooseberry Graben
2100,Gore Range
2753,Goshen
2903,Grand Valley
2034,Grand Wash
1057,Granite Springs Valley
1058,Grass Valley
89,Gravel Hills - Harper Lake
2458,Gray Ranch
2701,Great Salt Lake (Antelope Island)
2702,Great Salt Lake (Fremont Island)
2703,Great Salt Lake (Promontory)
90,Great Valley 1
91,Great Valley 10 (Panoche)
92,Great Valley 11
93,Great Valley 12
94,Great Valley 13 (Coalinga)
95,Great Valley 14 (Kettleman Hills)
96,Great Valley 2
97,Great Valley 3 (Mysterious Ridge)
98,Great Valley 3a (Dunnigan Hills)
99,Great Valley 4a (Trout Creek)
100,Great Valley 4b (Gordon Valley)
101,Great Valley 5 (Pittsburg - Kirby Hills)
103,Great Valley 6 (Midland)
105,Great Valley 7 (Orestimba)
106,Great Valley 8 (Quinto)
107,Great Valley 9 (Laguna Seca)
108,Green Valley
109,Greenville (north)
110,Greenville (south)
2904,Greys River
318,Grizzly Valley
319,Grogan
2752,Grouse Creek - Dove Creek Mountains (north)
2754,Grouse Creek - Dove Creek Mountains (south)
2459,Guadalupe
1174,Gumdrop Hills
2755,Gunlock
2756,Gunnison
2460,Hachita Valley
2757,Hansel Mountains (east side)
2704,Hansel Valley
2516,Happy Camp
2564,Harney
111,Hartley Springs
112,Hat Creek
902,Hayward (north)
901,Hayward (south)
900,"Hayward (south, extension)"
2305,Hebgen
113,Hector Mine
2306,Helena Valley
114,Helendale - Lockhart (south)
1175,Hickison Summit
2461,Hickman
1059,Hiko
2327,Hilger
115,Hilton Creek
2905,Hoback
2921,Hogsback
116,Hollywood
117,Holser
118,Holser - San Gabriel (connector)
119,Homestead Valley
120,Honey Lake
1060,Hoppins Peak
2803,Horse Heaven Hills
2834,Horse Heaven Hills - Wallula
2035,Horseshoe
121,Hosgri
122,Hosgri (extension)
1061,Hot Springs
1177,Hot Springs Mountains
2758,House Range
2036,Huachuca
2409,Hubbell Spring
2462,Hueco
123,Hunter Mountain - Saline Valley
124,Hunting Creek - Bartlett Springs (connector)
125,Hunting Creek - Berryessa
1062,Huntoon Valley (north)
1178,Huntoon Valley (south)
2705,"Hurricane (Ash Creek, Cedar City)"
